date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:38	41062/41062	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:37%20GMT	https://playerzpot.com/fantasy-chess	C:/Users/Real11/Desktop/test/playerzpot.com/fantasy-chess.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:38	39515/39515	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:37%20GMT	https://playerzpot.com/sheep-fight	C:/Users/Real11/Desktop/test/playerzpot.com/sheep-fight.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:38	37605/37605	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:37%20GMT	https://playerzpot.com/quiz	C:/Users/Real11/Desktop/test/playerzpot.com/quiz.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:39	89858/89858	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:38%20GMT	https://playerzpot.com/sports-quizzes	C:/Users/Real11/Desktop/test/playerzpot.com/sports-quizzes.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:39	83021/83021	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:38%20GMT	https://playerzpot.com/snake-and-ladder-app-download	C:/Users/Real11/Desktop/test/playerzpot.com/snake-and-ladder-app-download.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:39	178414/178414	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:38%20GMT	https://playerzpot.com/terms	C:/Users/Real11/Desktop/test/playerzpot.com/terms.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:39	89151/89151	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:38%20GMT	https://playerzpot.com/faq	C:/Users/Real11/Desktop/test/playerzpot.com/faq.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:40	38836/38836	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:39%20GMT	https://playerzpot.com/legals	C:/Users/Real11/Desktop/test/playerzpot.com/legals.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:40	45415/45415	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:39%20GMT	https://playerzpot.com/offers/Refer_earn	C:/Users/Real11/Desktop/test/playerzpot.com/offers/Refer_earn.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:40	87753/87753	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:39%20GMT	https://playerzpot.com/ipl-leaderboard	C:/Users/Real11/Desktop/test/playerzpot.com/ipl-leaderboard.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:40	38217/38217	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:32:39%20GMT	https://playerzpot.com/latest-update	C:/Users/Real11/Desktop/test/playerzpot.com/latest-update.html	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:40	5268/5268	---M--	200	added ('OK')	image/png	etag:%225cde8713-1494%22	https://cdn.playerzpot.com//images/ppmlogo_grey.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/ppmlogo_grey.png	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:41	6172/6172	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f05bad1-181c%22	https://playerzpot.com/desktop_assets/js/ppm.min.js	C:/Users/Real11/Desktop/test/playerzpot.com/desktop_assets/js/ppm.min.js	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:43	29110/29110	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.1.1/js/bootstrap.min.js	C:/Users/Real11/Desktop/test/maxcdn.bootstrapcdn.com/bootstrap/3.1.1/js/bootstrap.min.js	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:44	1619/1619	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f05bad1-653%22	https://playerzpot.com/desktop_assets/js/app-download.min.js	C:/Users/Real11/Desktop/test/playerzpot.com/desktop_assets/js/app-download.min.js	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:44	634/634	---M--	200	added ('OK')	application/javascript	etag:%225ef31a64-27a%22	https://playerzpot.com/desktop_assets/js/comp.min.js	C:/Users/Real11/Desktop/test/playerzpot.com/desktop_assets/js/comp.min.js	(from https://playerzpot.com/fantasy-sports-app-download)
16:02:45	6486/6486	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Feb%202021%2010:32:44%20GMT	https://playerzpot.com/POST	C:/Users/Real11/Desktop/test/playerzpot.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
16:03:06	529/529	---M--	200	added ('OK')	image/png	etag:%225d19b390-211%22	https://cdn.playerzpot.com//images/new_close_btn_navbar.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/new_close_btn_navbar.png	(from https://playerzpot.com/disclaimers)
16:03:09	10558/10558	---M--	200	added ('OK')	image/png	etag:%225cca82f0-293e%22	https://cdn.playerzpot.com//images/ppm_mascot.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/ppm_mascot.png	(from https://playerzpot.com/disclaimers)
16:03:11	24627/24627	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f47f1934dec578b3ec2daacb7e61d9c9%22	https://static.zdassets.com/ekr/snippet.js?key=d08b47e8-b446-4e92-aa6d-77968d737af7	C:/Users/Real11/Desktop/test/static.zdassets.com/ekr/snippetf84c.js	(from https://playerzpot.com/contact-us)
16:03:12	24627/24627	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f47f1934dec578b3ec2daacb7e61d9c9%22	https://static.zdassets.com/ekr/asset_composer.js?key=	C:/Users/Real11/Desktop/test/static.zdassets.com/ekr/asset_composer08e2.js	(from https://playerzpot.com/contact-us)
16:03:12	236/236	---M--	200	added ('OK')	image/png	etag:%225d19b364-ec%22	https://cdn.playerzpot.com//images/menu_mobile.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/menu_mobile.png	(from https://playerzpot.com/)
16:03:13	23988/23988	---M--	200	added ('OK')	image/png	etag:%225f58b622-5db4%22	https://cdn.playerzpot.com//images/playerzpot-new-logo.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/playerzpot-new-logo.png	(from https://playerzpot.com/)
16:03:14	26955/26955	---M--	200	added ('OK')	image/png	etag:%225f5743c4-694b%22	https://playerzpot.com/desktop_assets/img/Logo-new-1.png	C:/Users/Real11/Desktop/test/playerzpot.com/desktop_assets/img/Logo-new-1.png	(from https://playerzpot.com/)
16:03:16	62733/62733	---M--	200	added ('OK')	image/png	etag:%225ccfef57-f50d%22	https://cdn.playerzpot.com//images/how-to-play-video-new.png	C:/Users/Real11/Desktop/test/cdn.playerzpot.com/images/how-to-play-video-new.png	(from https://playerzpot.com/)
16:03:17	37608/37608	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Feb%202021%2010:33:15%20GMT	https://playerzpot.com/cricket-world-cup-2019-matches/India-Vs-Pakistan	C:/Users/Real11/Desktop/test/playerzpot.com/cricket-world-cup-2019-matches/India-Vs-Pakistan.html	(from https://playerzpot.com/)
